,id,username,created_at,lng,lat,text
9078,1518836063338479618,JesusQuinonezTV,Tue Apr 26 06:15:10 +0000 2022,-71.02134000000001,42.256124,Connor Joe hitting bombs makes me happy.   https://t.co/H8db6Qs6EW
9106,1518836129063223296,FLAGator5,Tue Apr 26 06:15:26 +0000 2022,-82.116175,26.992597999999997,@elonmusk Beef up your security babe!  These people do not play fair!  I mean it friend!  So happy you bought Twitt… https://t.co/OkuKiYlAMN
9158,1518836232356126720,albeokay,Tue Apr 26 06:15:51 +0000 2022,-149.7587945,61.235042500000006,Filipino filmmakers on the rise ya’ll. So happy for Sandoval.🇵🇭🏳️‍⚧️✊🏽🎥
9291,1518836500384866305,Mellgbab,Tue Apr 26 06:16:54 +0000 2022,-93.2620465,44.9706105,@BrannonMusic Omg thank you so much. I’m in shock and so grateful 🥲🥰💜🤗 My son will be so happy
9664,1518837312435666945,JesusQuinonezTV,Tue Apr 26 06:20:08 +0000 2022,-71.02134000000001,42.256124,So happy for this guy.
10466,1518838991683997696,friedlambchops,Tue Apr 26 06:26:48 +0000 2022,-80.8467855,35.209059,@gladiexist yess happy for you.. it would be epic to see you in a small venue.. come to vislulite in clt  or evening muse
10660,1518839371503489025,Kburg305,Tue Apr 26 06:28:19 +0000 2022,-77.038015,38.903818,BFG We In The Building Tonight @barcodedc Celebrateing Bday Bash The Lovely 😊 @_berniceburgos  🥰 happy birthday ! https://t.co/8NENWZpgYe
10674,1518839398334406657,anitawolf01,Tue Apr 26 06:28:25 +0000 2022,-79.9438375,39.6293145,@tuliperr Yayayayay so happy
10875,1518839803285934080,EthanMorlan,Tue Apr 26 06:30:02 +0000 2022,-122.775062,45.311166,@Bricky Hell yeah!! Your crushing it and should be proud and happy for the success! Your a lean mean fighting machine💪🏻!
11129,1518840345878056960,ogxfrvnk,Tue Apr 26 06:32:11 +0000 2022,-96.7617535,32.819858499999995,i don’t care for billionaires or trillionaires imma get mine &amp; build a happy life like my father did. i can’t compe… https://t.co/Q44WMvGeDd
11666,1518841600838975489,thestifily,Tue Apr 26 06:37:11 +0000 2022,-117.912,33.665,"The BEST co-pilots make it all worthwhile 😊😊😊😊 #happylittleturds  #DOGISMYCOPILOT🐶💕 @ Costa Mesa, California https://t.co/HLM2jJpb3I"
11948,1518842290328027138,siilysanto,Tue Apr 26 06:39:55 +0000 2022,-98.5406515,29.417501,rewatching unbreakable kimmy schmidt just to feel happy
12008,1518842437426454528,kippyNYC,Tue Apr 26 06:40:30 +0000 2022,-73.9685415,40.780709,@Ellie_Idol @RockstarSuicide I just want to stress that you are one in a million and you need nothing !!! Unless it makes you happy 😊
12075,1518842571979513857,BlckPllPlsrBch,Tue Apr 26 06:41:02 +0000 2022,-118.4119065,34.0207895,"if happy hour was made now there’d be character posters foreach  the four women, as well as for ukai, ms. nose, kohei, and daiki"
12151,1518842741756624897,craddock_ellis,Tue Apr 26 06:41:43 +0000 2022,-73.946794,40.809148,Thank you @remedywu for like my tap dance video with your song. My parents will be so grateful &amp; happy. God bless y… https://t.co/4wefWrxbhQ
12223,1518842929191677952,404HDTV,Tue Apr 26 06:42:27 +0000 2022,-122.430277,48.75335250000001,"@MarcMantone @JWKeady @WalshFreedom @elonmusk nice deflection my guy, I hope you're happy in that dream world 🙏"
12681,1518844016447553536,craddock_ellis,Tue Apr 26 06:46:46 +0000 2022,-73.946794,40.809148,Thank you #remedywu for like my tap dance video with your song. My parents will be so grateful &amp; happy. God bless y… https://t.co/H3cXUsxwsp
12972,1518844790867066881,LindaSu41238499,Tue Apr 26 06:49:51 +0000 2022,-122.23275349999999,47.565391999999996,@laurenboebert They might be happy to have a planet! Again - you know nothing. With your thinking we would never have invented anything!
13239,1518845532025679872,TanDonna09,Tue Apr 26 06:52:48 +0000 2022,-83.804475,27.698682,I hope I can be happy in the future and forget all my unhappiness🥰 https://t.co/v5YH4JeYnO
